2025-09-20 23:53:51,627 [INFO] [RESET] server_t=2640 local_t=7620 ms | Agent 1 | Voting list reset for cycle 6
2025-09-20 23:53:51,630 [INFO] [RESET] server_t=2640 local_t=7580 ms | Agent 4 | Voting list reset for cycle 6
2025-09-20 23:53:51,631 [INFO] [RESET] server_t=2640 local_t=7620 ms | Agent 2 | Voting list reset for cycle 6
2025-09-20 23:53:51,666 [INFO] [CYCLE_COMPLETE] Agent 10 | Cycle 5 | Voting list: [{'sender': 6}, {'sender': 7}, {'sender': 2}, {'sender': 9}, {'sender': 10}, {'sender': 4}, {'sender': 8}]
2025-09-20 23:53:51,667 [INFO] [RESET] server_t=2660 local_t=7640 ms | Agent 10 | Voting list reset for cycle 6
2025-09-20 23:53:52,848 [INFO] [CYCLE_COMPLETE] Agent 6 | Cycle 6 | Voting list: [{'sender': 6}, {'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 1}, {'sender': 2}]
2025-09-20 23:53:52,848 [INFO] [CYCLE_COMPLETE] Agent 1 | Cycle 6 | Voting list: [{'sender': 6}, {'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 1}, {'sender': 10}, {'sender': 2}]
2025-09-20 23:53:52,848 [INFO] [CYCLE_COMPLETE] Agent 9 | Cycle 6 | Voting list: [{'sender': 6}, {'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 1}, {'sender': 2}]
2025-09-20 23:53:52,848 [INFO] [CYCLE_COMPLETE] Agent 10 | Cycle 6 | Voting list: [{'sender': 6}, {'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 10}, {'sender': 1}, {'sender': 2}]
2025-09-20 23:53:52,848 [INFO] [CYCLE_COMPLETE] Agent 2 | Cycle 6 | Voting list: [{'sender': 2}, {'sender': 6}, {'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 1}]
2025-09-20 23:53:52,848 [INFO] [CYCLE_COMPLETE] Agent 8 | Cycle 6 | Voting list: [{'sender': 6}, {'sender': 7}, {'sender': 8}, {'sender': 4}, {'sender': 9}, {'sender': 1}, {'sender': 2}]
2025-09-20 23:53:52,849 [INFO] [RESET] server_t=3080 local_t=8060 ms | Agent 8 | Voting list reset for cycle 7
2025-09-20 23:53:52,849 [INFO] [RESET] server_t=3080 local_t=8060 ms | Agent 10 | Voting list reset for cycle 7
2025-09-20 23:53:52,849 [INFO] [RESET] server_t=3080 local_t=8060 ms | Agent 9 | Voting list reset for cycle 7
2025-09-20 23:53:52,849 [INFO] [RESET] server_t=3080 local_t=8060 ms | Agent 2 | Voting list reset for cycle 7
2025-09-20 23:53:52,849 [INFO] [CYCLE_COMPLETE] Agent 4 | Cycle 6 | Voting list: [{'sender': 6}, {'sender': 7}, {'sender': 4}, {'sender': 8}, {'sender': 9}, {'sender': 1}, {'sender': 2}]
2025-09-20 23:53:52,849 [INFO] [RESET] server_t=3080 local_t=8060 ms | Agent 6 | Voting list reset for cycle 7
2025-09-20 23:53:52,849 [INFO] [RESET] server_t=3080 local_t=8020 ms | Agent 4 | Voting list reset for cycle 7
2025-09-20 23:53:52,851 [INFO] [RESET] server_t=3080 local_t=8060 ms | Agent 1 | Voting list reset for cycle 7
2025-09-20 23:53:52,852 [INFO] [CYCLE_COMPLETE] Agent 7 | Cycle 6 | Voting list: [{'sender': 6}, {'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 1}, {'sender': 2}, {'sender': 4}]
2025-09-20 23:53:52,853 [INFO] [RESET] server_t=3080 local_t=8060 ms | Agent 7 | Voting list reset for cycle 7
2025-09-20 23:53:52,868 [INFO] [CYCLE_COMPLETE] Agent 3 | Cycle 6 | Voting list: [{'sender': 6}, {'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 1}, {'sender': 2}]
2025-09-20 23:53:52,870 [INFO] [RESET] server_t=3080 local_t=8020 ms | Agent 3 | Voting list reset for cycle 7
2025-09-20 23:53:53,921 [INFO] [CYCLE_COMPLETE] Agent 2 | Cycle 7 | Voting list: [{'sender': 10}, {'sender': 6}, {'sender': 7}, {'sender': 1}, {'sender': 2}, {'sender': 9}, {'sender': 4}]
